team,game_type,playerId,headshot,firstName,lastName,gamesPlayed,gamesStarted,wins,losses,overtimeLosses,goalsAgainstAverage,savePercentage,shotsAgainst,saves,goalsAgainst,shutouts,goals,assists,points,penaltyMinutes,timeOnIce
VGK,2,8478499,https://assets.nhle.com/mugs/nhl/20252026/VGK/8478499.png,{'default': 'Adin'},{'default': 'Hill'},27,27,10,9,6,3.044431,0.870528,587,511,76,1,0,1,1,2,89869
VGK,2,8479394,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479394.png,{'default': 'Carter'},{'default': 'Hart'},18,18,11,3,3,2.706457,0.890995,422,376,46,0,0,0,0,2,61187
VGK,2,8481033,https://assets.nhle.com/mugs/nhl/20252026/VGK/8481033.png,{'default': 'Akira'},{'default': 'Schmid'},34,29,16,10,6,2.594386,0.892541,791,706,85,2,0,1,1,0,117947
VGK,2,8482761,https://assets.nhle.com/mugs/nhl/20252026/VGK/8482761.png,{'default': 'Carl'},{'default': 'Lindbom'},8,8,2,4,2,2.995839,0.873016,189,165,24,0,0,0,0,0,28840
VGK,3,8479394,https://assets.nhle.com/mugs/nhl/20252026/VGK/8479394.png,{'default': 'Carter'},{'default': 'Hart'},18,18,13,5,0,2.407955,0.917137,531,487,45,0,0,0,0,2,67277
CAR,2,8475883,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475883.png,{'default': 'Frederik'},{'default': 'Andersen'},35,35,16,14,5,3.054428,0.873969,849,742,107,0,0,1,1,4,126112
CAR,2,8480051,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480051.png,{'default': 'Cayden'},{'default': 'Primeau'},3,3,2,1,0,4.29831,0.8375,80,67,13,0,0,0,0,0,10888
CAR,2,8481611,https://assets.nhle.com/mugs/nhl/20252026/CAR/8481611.png,"{'default': 'Pyotr', 'cs': 'Pjotr', 'fi': 'Pjotr', 'sk': 'Pjotr'}","{'default': 'Kochetkov', 'fi': 'Kotshetkov'}",9,8,6,2,0,2.325819,0.899471,189,170,19,1,0,0,0,0,29409
CAR,2,8483548,https://assets.nhle.com/mugs/nhl/20252026/CAR/8483548.png,{'default': 'Brandon'},{'default': 'Bussi'},39,39,31,6,2,2.465249,0.894737,912,816,97,2,0,1,1,2,141649
CAR,3,8475883,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475883.png,{'default': 'Frederik'},{'default': 'Andersen'},15,15,13,2,0,1.724315,0.91716,338,310,28,3,0,0,0,2,58458
