event_id,game_datetime,game_date,name,short_name,season_type,season_type_name,round_type,status_state,status_detail,completed,neutral_site,venue,home_team_id,home_team,home_abbrev,home_score,away_team_id,away_team,away_abbrev,away_score,home_win,home_margin,context_team_id,context_team
401873200,,,,,,,,,,False,,,,,,,,,,,,,24,San Antonio Spurs
401873201,,,,,,,,,,False,,,,,,,,,,,,,24,San Antonio Spurs
401873202,,,,,,,,,,False,,,,,,,,,,,,,24,San Antonio Spurs
401873203,,,,,,,,,,False,,,,,,,,,,,,,24,San Antonio Spurs
401859963,,,,,,,,,,False,,,,,,,,,,,,,24,San Antonio Spurs
401873341,,,,,,,,,,False,,,,,,,,,,,,,18,New York Knicks
401873342,,,,,,,,,,False,,,,,,,,,,,,,18,New York Knicks
401873343,,,,,,,,,,False,,,,,,,,,,,,,18,New York Knicks
401873344,,,,,,,,,,False,,,,,,,,,,,,,18,New York Knicks
401859963,,,,,,,,,,False,,,,,,,,,,,,,18,New York Knicks
