event_id,game_datetime,game_date,name,short_name,season_type,season_type_name,round_type,status_state,status_detail,completed,neutral_site,venue,home_team_id,home_team,home_abbrev,home_score,away_team_id,away_team,away_abbrev,away_score,home_win,home_margin,schedule_context_team_id
401809839,2025-12-17T01:30Z,2025-12-17,San Antonio Spurs at New York Knicks,SA VS NY,2,Regular Season,Commissioner's Cup,post,Final,True,True,T-Mobile Arena,18,New York Knicks,NY,,24,San Antonio Spurs,SA,,,,24
401810322,2026-01-01T00:00Z,2026-01-01,New York Knicks at San Antonio Spurs,NY @ SA,2,Regular Season,Standard,post,Final,True,False,Frost Bank Center,24,San Antonio Spurs,SA,,18,New York Knicks,NY,,,,24
401810723,2026-03-01T18:00Z,2026-03-01,San Antonio Spurs at New York Knicks,SA @ NY,2,Regular Season,Standard,post,Final,True,False,Madison Square Garden,18,New York Knicks,NY,,24,San Antonio Spurs,SA,,,,24
401859963,2026-06-04T00:30Z,2026-06-04,New York Knicks at San Antonio Spurs,NY @ SA,3,Postseason,Final,pre,"Wed, June 3rd at 8:30 PM EDT",False,False,Frost Bank Center,24,San Antonio Spurs,SA,,18,New York Knicks,NY,,,,24
401859964,2026-06-06T00:30Z,2026-06-06,New York Knicks at San Antonio Spurs,NY @ SA,3,Postseason,Final,pre,"Fri, June 5th at 8:30 PM EDT",False,False,Frost Bank Center,24,San Antonio Spurs,SA,,18,New York Knicks,NY,,,,24
401859965,2026-06-09T00:30Z,2026-06-09,San Antonio Spurs at New York Knicks,SA @ NY,3,Postseason,Final,pre,"Mon, June 8th at 8:30 PM EDT",False,False,Madison Square Garden,18,New York Knicks,NY,,24,San Antonio Spurs,SA,,,,24
401859966,2026-06-11T00:30Z,2026-06-11,San Antonio Spurs at New York Knicks,SA @ NY,3,Postseason,Final,pre,"Wed, June 10th at 8:30 PM EDT",False,False,Madison Square Garden,18,New York Knicks,NY,,24,San Antonio Spurs,SA,,,,24
401859967,2026-06-14T00:30Z,2026-06-14,New York Knicks at San Antonio Spurs,NY @ SA,3,Postseason,Final,pre,"Sat, June 13th at 8:30 PM EDT",False,False,Frost Bank Center,24,San Antonio Spurs,SA,,18,New York Knicks,NY,,,,24
401859968,2026-06-17T00:30Z,2026-06-17,San Antonio Spurs at New York Knicks,SA @ NY,3,Postseason,Final,pre,"Tue, June 16th at 8:30 PM EDT",False,False,Madison Square Garden,18,New York Knicks,NY,,24,San Antonio Spurs,SA,,,,24
401859969,2026-06-20T00:30Z,2026-06-20,New York Knicks at San Antonio Spurs,NY @ SA,3,Postseason,Final,pre,"Fri, June 19th at 8:30 PM EDT",False,False,Frost Bank Center,24,San Antonio Spurs,SA,,18,New York Knicks,NY,,,,24
