team_id,team,abbrev,location,name,slug,is_active
1,Atlanta Hawks,ATL,Atlanta,Hawks,atlanta-hawks,True
2,Boston Celtics,BOS,Boston,Celtics,boston-celtics,True
17,Brooklyn Nets,BKN,Brooklyn,Nets,brooklyn-nets,True
30,Charlotte Hornets,CHA,Charlotte,Hornets,charlotte-hornets,True
4,Chicago Bulls,CHI,Chicago,Bulls,chicago-bulls,True
5,Cleveland Cavaliers,CLE,Cleveland,Cavaliers,cleveland-cavaliers,True
6,Dallas Mavericks,DAL,Dallas,Mavericks,dallas-mavericks,True
7,Denver Nuggets,DEN,Denver,Nuggets,denver-nuggets,True
8,Detroit Pistons,DET,Detroit,Pistons,detroit-pistons,True
9,Golden State Warriors,GS,Golden State,Warriors,golden-state-warriors,True
10,Houston Rockets,HOU,Houston,Rockets,houston-rockets,True
11,Indiana Pacers,IND,Indiana,Pacers,indiana-pacers,True
12,LA Clippers,LAC,LA,Clippers,la-clippers,True
13,Los Angeles Lakers,LAL,Los Angeles,Lakers,los-angeles-lakers,True
29,Memphis Grizzlies,MEM,Memphis,Grizzlies,memphis-grizzlies,True
14,Miami Heat,MIA,Miami,Heat,miami-heat,True
15,Milwaukee Bucks,MIL,Milwaukee,Bucks,milwaukee-bucks,True
16,Minnesota Timberwolves,MIN,Minnesota,Timberwolves,minnesota-timberwolves,True
3,New Orleans Pelicans,NO,New Orleans,Pelicans,new-orleans-pelicans,True
18,New York Knicks,NY,New York,Knicks,new-york-knicks,True
25,Oklahoma City Thunder,OKC,Oklahoma City,Thunder,oklahoma-city-thunder,True
19,Orlando Magic,ORL,Orlando,Magic,orlando-magic,True
20,Philadelphia 76ers,PHI,Philadelphia,76ers,philadelphia-76ers,True
21,Phoenix Suns,PHX,Phoenix,Suns,phoenix-suns,True
22,Portland Trail Blazers,POR,Portland,Trail Blazers,portland-trail-blazers,True
23,Sacramento Kings,SAC,Sacramento,Kings,sacramento-kings,True
24,San Antonio Spurs,SA,San Antonio,Spurs,san-antonio-spurs,True
28,Toronto Raptors,TOR,Toronto,Raptors,toronto-raptors,True
26,Utah Jazz,UTAH,Utah,Jazz,utah-jazz,True
27,Washington Wizards,WSH,Washington,Wizards,washington-wizards,True
